,Feature,Importance
12,RSI_14,0.05974206372742876
13,MACD,0.05949762738995604
27,Volume_MA_14,0.0591214013420189
11,EMA_50,0.053106421982152756
22,BB_Std,0.05068944087057876
26,BB_B,0.05057500912551975
14,MACD_Signal,0.047350019739279464
9,EMA_10,0.047001892249997075
5,SMA_10,0.04667549317916202
25,BB_Width,0.04430255525583572
7,SMA_50,0.04393274233365227
23,BB_Upper,0.042846306701914506
10,EMA_20,0.04046994898184551
8,EMA_5,0.038105645475369036
15,MACD_Hist,0.03713482123885347
2,Price_Normalized,0.03492027734718967
4,SMA_5,0.034323416941731244
21,BB_Middle,0.033288353039934444
6,SMA_20,0.03195162811773512
0,Price,0.029966446090105233
24,BB_Lower,0.027383586954131976
20,Return_5d,0.023839890730615383
19,Return_3d,0.01714105316240626
28,Price_Volume_Ratio,0.013248391994703625
3,Volume_Normalized,0.00969513313073263
1,Volume,0.008138674585582173
16,Price_Change,0.007967641516006261
18,Return_1d,0.005640574820616563
17,Price_Change_Pct,0.0019435419749453643
