,Feature,Importance
15,MACD_Hist,0.09610439173047725
13,MACD,0.05542877222398292
7,SMA_50,0.05436946315819288
10,EMA_20,0.0496291387207423
20,Return_5d,0.047772150515786774
25,BB_Width,0.047758237135803176
22,BB_Std,0.047441782404424065
26,BB_B,0.04566137600863196
28,Price_Volume_Ratio,0.044837805680339925
2,Price_Normalized,0.03644618762630533
6,SMA_20,0.03565487905043009
8,EMA_5,0.03465111443962558
11,EMA_50,0.03155887515148165
27,Volume_MA_14,0.030341112907253207
0,Price,0.030171668079808946
9,EMA_10,0.030001036240511026
19,Return_3d,0.028319542646811274
1,Volume,0.02792181254960635
21,BB_Middle,0.02738892938500727
14,MACD_Signal,0.027235933275219792
3,Volume_Normalized,0.026968454094756136
23,BB_Upper,0.025349927671467265
24,BB_Lower,0.02521110969910721
4,SMA_5,0.023954926005933755
12,RSI_14,0.021869379788691842
5,SMA_10,0.019245584641994818
17,Price_Change_Pct,0.013315730280482123
16,Price_Change,0.008713943551377225
18,Return_1d,0.0066767353357478024
