,Feature,Importance
13,MACD,0.09684358820439636
10,EMA_20,0.06886490118071609
7,SMA_50,0.06485963496301482
27,Volume_MA_14,0.06430651643069138
14,MACD_Signal,0.06389591971067778
23,BB_Upper,0.05759358533160382
8,EMA_5,0.05228246659734767
22,BB_Std,0.05178896915282354
26,BB_B,0.04971627370532447
25,BB_Width,0.04634205565277836
11,EMA_50,0.04115069615012084
9,EMA_10,0.03988086501257588
5,SMA_10,0.03703671332001603
6,SMA_20,0.03672125339698402
15,MACD_Hist,0.03140032782710361
24,BB_Lower,0.02859726765172481
21,BB_Middle,0.024965012326860114
4,SMA_5,0.023687668403593144
19,Return_3d,0.020565720026935033
12,RSI_14,0.019091113795172858
1,Volume,0.018393644014850188
3,Volume_Normalized,0.015460840123952905
20,Return_5d,0.015194678265987317
28,Price_Volume_Ratio,0.012091667458992738
0,Price,0.007785230741266234
2,Price_Normalized,0.006627952388794094
18,Return_1d,0.002024383204635618
16,Price_Change,0.0015773421557158877
17,Price_Change_Pct,0.0012537128053445132
